"stockType","askPrice","bidPrice","percentageChange","askSize","symbol","lastSalePrice"
"Common Stock","$226.70","$226.39","-0.27%","200","AAPL","$226.57"
"Common Stock","$213.46","$213.20","","23","TSLA","$213.21"
